,Title,Company,Location,Rating,Date,Salary,Description,Links
0,Technical Data Analyst,"Althea US, Inc.","Hybrid remote in Goodlettsville, TN 37072",NaN,EmployerActive 7 days ago,"$65,000 - $75,000 a year","Standardize data within the databases to ensure reporting ease.
Microsoft Excel: 5 years (Preferred).
Additionally, you will support the organization’s ability…",/pagead/clk?mo=r&ad=-6NYlbfkN0C1h16VgjxTYDWK1zLUwsyAVGTSu29BUQ9b02KoNPHJnum0ee-Yoioej26sQ7GYQNM3jFIt0-VTNT_iMxiwj27DX_uME2_PZRhobrnSpecmazpgKl5F4qhl736tTjQ8eDs3Gq5eZsWLYe7UOY-kDLHocjWfovPkqT0KJtHlLP7mxHE38Nn0vvk98sUH2X_a4jBNdsBQo8n753I-RFoP4h8dcapLJoYXkclSrXpwcTawic5-0QrmWWIXlIhiyvT245Ghlyz7h7n9UzanNAc5WD1wULjnrWQ6d8kIfaxFphu9JKp6W2bm_YllumwkmPnouoqZ6A6tiZon45fBxbu52tzbTXzMluK7Rlh3hT8HiW9xTpG1n_GDYEtSoSldDFB4s6ctd4IvQf5eTuDO-zYTf-h6-XSXtKtu8uVFm58QcgYucxctXMy11QUlkUKlBHzyjrW_p9tZ-ABuUiDlV6FK_TqZ3GevHUGS3_cKe-TEWd9vn9Jio38yJBbPIkk7HCnX35DdVySGIQerfLgvAbuVTLK8imnev_tKryA=&xkcb=SoBC-_M3Rug1bf2YG50PbzkdCdPP&p=0&fvj=1&vjs=3
1,Financial Operations Analyst - Corporate,Summit Behavioral Healthcare,"Franklin, TN 37067 (McEwen area)",3.2,EmployerActive 2 days ago,NaN,"Compares data from multiple sources to recommend effective approaches/solutions.
Maintains the technical integrity and functioning of Financial Operations data…",/pagead/clk?mo=r&ad=-6NYlbfkN0DBzKk0aihkdEovKDDwIMoVrdLHhPW1miSjXDIKMjOHPM96DxIMiYFnRmqPxK6QjRa1p1lEw3SB1yoNv8832LX7bT4TXujANeEo4lWSaEk30Rx8K53nxA-9pDsqhaUvphVCxNpoKMhA_bMXQCk-Cu7NaNVNMxk9dPQbjSHUtCNYLLsKYauNOByBjkFnQF23IhefwUsvYedN3FW97UonBpThYayvWMZEi1OvZMxUUrZALteLdJd3OgTiqDhvAASHD6M9ewoCqImloJZMVrP85pqNGWIx5WqcbKxRpKltA2DW76mpbB5XdrjUtqDykPA1fJDSFJ3BSJRvkBG9ZREaPBeaDh93swoGjhZ-KxwjvtE20BE0bZq1tdIR13APCzp9SRBTmpg2Qx49jeF-znjXPzHsUP03SOjJ7L08dyspddCoD9sLOGZ5tzBVSPnJTlZKDroytnoP68HhFaN_TR7pyQugIkvIiPX2Fj5MnAGqNOZ45VcDnc7wH91vC65FsnGTar2xZjOYZUW-MbF41QrgwuzaaVgqmMNADzJLsH0U-OBkKOtq6QoVmdqdrq5Rj_KNM0MoMl1I5JEqTQ==&xkcb=SoD2-_M3Rug1beWYG50JbzkdCdPP&p=1&fvj=1&vjs=3
2,Junior Data Analyst,Affiliated Monitoring,"Union, NJ 07083",3.6,PostedPosted 24 days ago,NaN,"Performs in-depth data analysis, data-mining, data importing, data entry, and report generation.
Works with other teams to gather and understand reporting/data…",/pagead/clk?mo=r&ad=-6NYlbfkN0CiYq_XcFJ6130Lw4wXc2TO19DCArO8bEP_xEgF9-gWat-IcgI9UXTCBhIAMVNq43hiYS7mbs49Dy0I0BstZlUDHXUHtn7P7SBEMZT79yolHBY3rE71LfmoeEEZbZA29-rAp_9YbIuxBaml9kJVnQb6OQnhMXTA6BWSPQH5bceiyCk_DRoyjGr1joBv9UiDBeVZMwSnw5MfuHsg9Pzu7cmgpeisCALBeP97x-u8avC4GQNz4puL82X9f42B-cruQxCG8ZGmead0GSPD4cSRujjLo5o1T9aDixBffZWIqEFaIQSy6VFOmhjVIRqoCKa5U1JA36-ql6VFlQnke50aQEmc_nJF-6y_xQ9FYMWd3Zfhhk3bm1rPLR_nGI2pmmfCV2Jw2TwHlSbeQmPwNAwnegSp7o7kiLNgLDdv-6F5t0cP3Xz6gHJ5-JBUZlvXfgM5zAsNHWWfPleO7QHtBQMKBmi-ohjplqTHnS853mKCNIf_eVdopz0ZcswhMkVmz9BpCCm8qyxsb8C7BoSFAI7ycLp93kFgmC_IozCf0brmgOv_7gNCWc4lvjn1ZdnFpBwHKC-I1Jrc2pd9PAyd1NI2rrMZDIHsqJbFbvPvPzd10FSNx_lnR0jv78LLUHCoqqgoP-qpLdG-G3697Zn0gIvjPNKCxbd_iusCDLH7H8NAlsuVjhajIjDGJohNpi_2IXo9MSz6wDd-DRMZpt8aO_S1qSYANL4VGEigw_ErDPmyGOKqQ-KdNQnFq6ZNOdvMRso0BS05LfilzCziqEbloCKMnSAGf16xDjQzqUnisoQCsC8ysA==&xkcb=SoDM-_M3Rug1beWYG50PbzkdCdPP&p=2&fvj=0&vjs=3
3,Data Analyst,Sandia Laboratory Federal Credit Union,"Albuquerque, NM 87111 (Cielito Lindo area)",3.9,EmployerActive 8 days ago,"$78,000 - $97,800 a year","Ensure accuracy and security of all data by auditing and validating data and data systems.
Minimum 4 years of related working experience in data analytics,…",/pagead/clk?mo=r&ad=-6NYlbfkN0CPtLlwvIyl7GHzfXT6X0XLnsPqvg1AaWS4QuYyooVrT-BrwNkt4hSxTsRSTDY8BixRwoPon3vGx_4lEXUVDonzg6Ap1hQU5Rp59oxtv2Zaul3lw50ELHpUGDOjOamQ6sqY8bt5ntxbv00Q1SLIyAN0z59G6g_AQmae-91R1vXBUVd0eTo9VI1dzatFRXXBEe8zGcpeDq34sE41JKvx1Kx35kBNG51E3-vlXYtO9VNZ2RYcD3LFvxbjTCxIANV5iHDgA3m1TDCXNplkdWnogUgFt0IrKVHi_7nYC0MCl4Q6VyMlkt8l9wwIeCZetuMNKHv14lr5YYWYl62s-YtLwvVF31GtvgzmuhyMcvf0HAOHj8QI-dJE6vDmJYBBwfGqYEnpaTtCLcDbMps6IkK3-mHHuwMNxlIj3iXq-5hArj9lA2RR-_Uk6bFQRNgEOZfok88GfApRbhJyE9yEoFAPWOkQOhj6Mplnq5nvE_aAl-f5ioaauEYOzrGFBL6x_Nx5HhmfYgd8NEJ3Hw_vRaoGyoIvVpNeqeYexsBQzWv_iqPoBNV2RScFq0fMom96fliwnTu6LsO43Ic6tDUDYGdENScx&xkcb=SoDl-_M3Rug1beWYG50NbzkdCdPP&p=3&fvj=0&vjs=3
4,"Senior Analyst, Business Systems and Analytics",Adtalem Global Education,Remote,3.2,PostedPosted 30+ days ago,"$47,766 - $86,254 a year",As a senior analyst takes a lead role in identifying improvement opportunities and leads projects for successful implementation and completion.,/pagead/clk?mo=r&ad=-6NYlbfkN0ARmzonBgVKF1i6Ai69eTBBgV30x7MCqbnkkasszX8z7igEtduHVwCNGAFrQCpsSj4gVkz7nOwmkJCQhxQL9AqZzVAWBMmHooJaleSb8Sx-TL8RE7OOlc90Nu0fcxGxInxxuTd3dI4GZ8TtRhyJ9p1pUXPOnehQ1srTKmy3anUojZ0NTMmCHNv0fwxfn2sjKOQg65_KxchNxU0K2swt0DxOuz4rWFR_IMfvNfgouV8J36xEtJLzopdqYbt6Zowgq1PrA2RPn_qt8VB-92HYwRLUKHfIesPJS0R0fWu79ruVatFDER343kpVyaey-PMGKrjW0roHoh9nDDO-pJlS34Xy_rmNCntVmQ5-pp8nmEwM-mtwQJvJVrkkf7r2O4lssKFGMGfo6eMeXL-Q2DpZavl6j0ywVVvcixAS0UWcz8NgNSJak9yjGuYT8ISoP1N-sRRD_WPVo8V9f0xsWgDyVs4SojfINQvGPdbSi-r6MSJMDTZmiFWfj9G3JGGD3h7adlnZQBVIdbJYh8w1cULK-JmGRKmIanSejVsWm8KJuQMYYcirGzXD9LaC8RNF6Lv9CQ-1coytvt7lz-QYwzvxnLmGr_aMNxcae_ZDCbURYiVHnxBcF_aUJyIOEi9WqucLxIDv28Kd2_SXUd6e2z5SuJjYpC70xiE33mXI9ocy4YtZ45a8-D5lxF_kqDfu4UgP1dewwSnrqOC2xucsY7Y_jtMnUoXgZj3vw1AogfUJbkHh5HKv-cBT1oJ-jFVGXaKdU0KYVYbNl8E9eDxHi_1pifo4j0K965wdcm21eiyKMYLDiFMdqxFW3WosACUGFy0PQlZZOAD1edmqAA==&xkcb=SoAu-_M3Rug1be2YG50KbzkdCdPP&p=4&fvj=0&vjs=3
5,Data Analyst,Honor,Remote,3.4,PostedJust posted,"$92,000 - $113,000 a year","Acquire data from primary or secondary data sources and establish temporary data collection processes.
Develop and implement tactical data collection systems,…",/rc/clk?jk=1bcdde94216001e1&fccid=d12645453d9cc8ea&vjs=3
6,Business Analyst- Bilingual (Korean/ English),BrickRed Systems,"Plano, TX",4.6,PostedPosted 2 days ago,NaN,"Develop SQL statements and perform database queries to extract and analyze data.
Minimum of 3 years of experience as a Business Analyst, with a maximum of 8…",/pagead/clk?mo=r&ad=-6NYlbfkN0Dr0Ujeia70usG3rZM1ULtwG17PByqLG98FGluMGNXo6h9rH1SEY9gyd5iNzETYRFOA2n8yX1C6J7eVYj2Q8u1E4gzS91VfDOemYXJTP0rLwY4LNisv-FRgBsZauvKM7JoF8WjqbgVX8G8ZTAB8MuafkdSbAwNvY3glKQJLXOpxK_MdVzGzRXyBZJZiiNCORc7lSiTxvwx13MjWX6SblWYw4gAk2PvBj5CoLoQZY-296LOXaX6lhGpUWZCc0SuqNXpvoIpOMv4jMyIUsXaA7_xRXV20HQ0DYms_BjTeHcZ6dpFzEiCpPv5qs59csuHmL7cmkEeyRHFnXuUDdVc3ASlUTKM7m3ecv5wfxLNWcINUrpnBmpR1oMPqZGPTabWL7qAj1a8R6aGx2caTx741TLkSpEhdvmox9ugkOZYYEhAiHFUK5UiL8ES0rN3sViqBq3MeF_zwroh-ql7ItXj6k-kylN8MRiSm2JdS2TA6GWLUNxK3i1IOREqwtU-qh0JLgFskPbJSg5JuUZ-AWtqb2lkDxlh-RneF6BE=&xkcb=SoA9-_M3Rug1be2YG50ObzkdCdPP&p=6&fvj=1&vjs=3
7,Data Analyst,Renovo Solutions,+1 locationRemote,3.9,PostedToday,"$80,000 - $100,000 a year","Minimum of 3 years of experience in a data analyst role or a similar position.
Continuously monitor data quality and work with engineering and IT teams to…",/company/Renovo-Solutions/jobs/Data-Analyst-9d8cb09291241840?fccid=f70a24bc444320ad&vjs=3
8,Data Analyst (Warehouse Operations),The Black Tux,+1 locationRemote,3.0,PostedPosted 6 days ago,"$95,000 - $105,000 a year","Collaborate with data engineering to ensure that we have accurate sources of truth data to serve needs across our organization.
The Data Analyst role is remote.",/rc/clk?jk=19526e49d9038043&fccid=4fd7bf634e8b1140&vjs=3
9,"Data Analyst, Advanced Excel",ATL International (formerly DeNuke),Remote,NaN,EmployerActive 2 days ago,$30 - $45 an hour,"I. Connecting to data from multiple sources.
Query and extract data from multiple databases and management information systems and apply complex formulas to…",/company/ATL-International-(formerly-DeNuke)/jobs/Data-Analyst-83bb46a59e8a6d5b?fccid=1f051ca5b7a49e49&vjs=3
